
А
Абакус Прайм, СЭ 280 - стр 
Альфа-Амиприд, РП 47  - стр 
Альфа-Гард, ВДГ 630 - стр 
Альфа-Дикамба, ВРК 482 - стр 
Альфа-Дикват, ВР 706 - стр 
Альфа-Директор, КЭ 66 - стр 
Альфа-Пиралид, ВР 541 - стр 
Альфа-Прометрин, КС 593 - стр 
Альфа-Протравитель, ТКС 239 - стр 
Альфа-Серф, ВК 85 - стр 
Альфа-Ципи, КЭ 24 - стр 
Альфабел, КЭ 30 - стр 
Альфаметрин, КЭ 23 - стр 
Альфаплан, КС 30 - стр 
Альфастим, ВЭ 869 - стр 
Альфатек, КЭ 25 - стр 
Альфацин, КЭ 23 - стр 
Альфин, ТАБ 46 - стр 
Альянс, ВР 409 - стр 
Аметил, ВРК 577 - стр 
Аминка ФЛО, КЭ 396 - стр 
Аминка ЭФ, КЭ 394 - стр 
Аминка, ВР 392 - стр 
Аминопелик, ВР 392 - стр 
Амистар Голд, СК 207 - стр 
Амистар Нэкст, МД 22 - стр 
Амистар Топ, СК 216 - стр 
Амистар Трио, КЭ 291 - стр 
Амистар Экстра, СК 214 - стр 
Ампир Экстра, ВР 465 - стр 
Ампир, ВР 455 - стр 
Амплиго, МКС 114 - стр 
Анемон, КЭ 301 - стр 
Анкер Трио, КС 332 - стр 
Анкор-85, ВДГ 622 - стр 
Ансамбль, КС 337 - стр 
Антарес, ВК 580 - стр 
Антивылегач, BP 874 - стр 
Антимышин, ГР 165 - стр 
Антитлин, П 124 - стр 
Антракол, ВДГ 302 - стр 
Апекс, МКЭ 127 - стр 
Аполло, КС 102 - стр 
Апплауд, СП 52 - стр 
Априори, ВДГ 548 - стр 
Апрон Голд, ВЭ 273 - стр 
Арабеск, СЭ 412 - стр 
Арбалет, СЭ 399 - стр 
Арбитр АГ, СП 661 - стр 
Арбитр, СП 661 - стр 
Арбонал, ВК 507 - стр 
Аргамак, ВДГ 649 - стр 
Арго Прим, МЭ 673 - стр 
АРГО, МЭ 674 - стр 
Аргумент Стар, ВР 470 - стр 
Аргумент, ВР 456 - стр 
Аргумент, ВР 456 - стр 
Аристократ Супер, ВР 453 - стр 
Аристократ, ВР 447 - стр 
Ария, КС 147 - стр 
Аркан, ВДГ 616 - стр 
Армин, КЭ 29 - стр 
Арпад, ВДГ 613 - стр 
Арриво, КЭ 156 - стр 
Артафит, ВРК 856 - стр 
Артист, ВДГ 686 - стр 
Артстар, ВДГ 643 - стр 
Архитект, СЭ 281 - стр 
Архитект, СЭ 281 - стр 
Ас, ВК 507 - стр 
Аспид, СК 132 - стр 
Ассолюта Прайм, МК 404 - стр 
Ассолюта, МК 401 - стр 
Астэрикс, СЭ 407 - стр 
Атаброн, КС 152 - стр 
Атлант Супер, КЭ 301 - стр 
Атлант, КЭ 285 - стр 
Атлет, ВР 873 - стр 
Атоник Плюс, ВР 834 - стр 
Атрикс, КЭ 25 - стр 
АтронПро, ВДГ 509 - стр 
Аттик, КС 233 - стр 
Афродита 250, КС 206 - стр 
Аффет, КС 275 - стр 
Ацетал Про, КЭ 597 - стр 
Ацидан, СП 259 - стр 
Ацифект, ВК 416 - стр 
Аякс, КС 207 - стр 

Б
Б-360, ВР 808 - стр 
Багира, КЭ 518 - стр 
Багрец, КС 363 - стр 
Базагран, BР 419 - стр 
Базис, СТС 615 - стр 
Байзафон, СП 346 - стр 
Бакара Форте, КС 490 - стр 
Баксис, Ж 185 - стр 
Бактерра, СП 185 - стр 
Бактороденцид, ПР 165 - стр 
Бактофит, СК 191 - стр 
Бактофит, СП 189 - стр 
Бактофорт, Ж 923 - стр 
Балая, КЭ 576 - стр 
Балерина Супер, СЭ 404 - стр 
Балерина Форте, СЭ 404 - стр 
Балерина, СЭ 406 - стр 
Балет, КЭ 395 - стр 
Балий, КМЭ 290 - стр 
Балинт, КС 377 - стр 
Бампер Супер, КЭ 308  - стр 
Банджо Форте, КС 358 - стр 
Бандур, КС 414 - стр 
Банко, КС 380 - стр 
Баргузин, Г 58 - стр 
Баритон Супер, КС 306 - стр 
Баритон, КС 307 - стр 
Барон, ВР 423 - стр 
Баста, ВР 473 - стр 
Баста, ВР 473 - стр 
Батлер, КС 358 - стр 
Батор, КС 95 - стр 
Батор, КС 95 - стр 
Батор, КС 95 - стр 
Батрайдер, СК 31 - стр 
Бегин Турбо, КС 620 - стр 
Бегин, КЭ 617 - стр 
Беллис, ВДГ 221 - стр 
Белт, КС 148 - стр 
Бельведер Форте, СЭ 699 - стр 
Бельведер, СЭ 475 - стр 
Бен Гур, ВДГ 651 - стр 
Беназол, СП 219 - стр 
Беневия, МД 152 - стр 
Бенефис Суприм, МЭ 242 - стр 
Бенефис, МЭ 238 - стр 
Бенито, ККР 423 - стр 
Беномил 500, СП 218 - стр 
Бенорад, СП 219 - стр 
Бенрил, ВДГ 641 - стр 
Бентазолин, ВР 417 - стр 
Бентасил, ВР 419 - стр 
Бентекс, ВР 424 - стр 
Бентилон, ВР 417 - стр 
Бентобел, ВР 417 - стр 
Бентограм, ВР 418 - стр 
Бентус, ВР 421 - стр 
Берелин, ВРП 779 - стр 
Беретта, МД 52 - стр 
Берилл, КЭ 520 - стр 
Берилл, КЭ 520 - стр 
Беркана, ВРК 730 - стр 
Бетакем, КЭ 699 - стр 
Бетанал 22, КЭ 474 - стр 
Бетанал Прогресс ОФ, КЭ 697 - стр 
Бетанал Эксперт ОФ, КЭ 697 - стр 
Бетаниум 22, КЭ 475 - стр 
Бетарен 22, МКЭ 476 - стр 
Бетарен Супер МД, МКЭ 662 - стр 
Бетарен Экспресс АМ, КЭ 662 - стр 
Бетахим 22, КЭ 475 - стр 
Бетахим Эксперт, КЭ 697 - стр 
Бетацвай, КЭ 475 - стр 
Беташанс Дабл, КЭ 664 - стр 
Бетинол 22, КЭ 476 - стр 
Бетинол Плюс, КЭ 701 - стр 
Бетинол, КЭ 477 - стр 
Би-58 Топ, КЭ 63 - стр 
Бигус, ВР 793 - стр 
Бизон Эдванс, КЭ 427 - стр 
Бизон, ВК 424 - стр 
Биммер, КЭ 62 - стр 
Бинадин, КЭ 62 - стр 
Бинал, Ж 931 - стр 
Бинорам, Ж 197 - стр 
Биоcлип БТ, П 14 - стр 
Биоcтоп, Ж 15 - стр 
Биоагро-РР, Ж 883 - стр 
Биоверт, СП 16 - стр 
Биодукс, Ж 760 - стр 
Биокилл, КЭ 21 - стр 
Биокомпозит-Про, Ж 196 - стр 
Биолан Супер, ВР 393 - стр 
БиоЛарикс, ВРК 798 - стр 
Биосил, ВЭ 870 - стр 
Биослип БВ, Ж 895 - стр 
Биостоп, Ж 894 - стр 
Биосфера-Фунгимен, Ж 907 - стр 
Биотлин Бау, ВР 78 - стр 
Биотлин, ВРК 77 - стр 
Биотран, КРП 873 - стр 
Бис-300, ВР 533 - стр 
Биская, МД 132 - стр 
БисолбиСан, Ж 193 - стр 
Бисолбицид, Ж 189 - стр 
Битатрин, КЭ 703 - стр 
БитЛайт, КС 660 - стр 
Битоксибациллин, П 12 - стр 
Бифас, КС 91 - стр 
Бифор 22, ВСК 475 - стр 
Бифор 22, КЭ 474 - стр 
Бифор Прогресс, ВСК 699 - стр 
Бифор Супер, МЭ 703 - стр 
Бихард, СЭ 397 - стр 
Бицепс 22, КЭ 474 - стр 
Бицепс Гарант, КЭ 699 - стр 
Бишка, КЭ 61 - стр 
Блиц, ВРК 424 - стр 
Блю Шилд 20, ВДГ 262 - стр 
Боксер, КЭ 600 - стр 
Боливар Форте, КС 327 - стр 
Бомба, ВДГ 659 - стр 
Бомбарда, КС 140 - стр 
Бомбер, ДШ 144 - стр 
Бонтима Форте, КЭ 385 - стр 
Бонтима, КЭ 385 - стр 
Бонус, ВР 419 - стр 
Бордоская жидкость, ВСК 268 - стр 
Бордоская жидкость, ВСК 268 - стр 
Бордоская смесь Экстра, ВРП 268 - стр 
Бордоская смесь-Ф, ВРП 268 - стр 
Борей Нео, СК 32 - стр 
Борей, СК 93 - стр 
Босфор, КЭ 588 - стр 
Ботаник, ВРК 883 - стр 
Браво, КС 380 - стр 
Брандер, КС 212 - стр 
Бретер, КЭ 103 - стр 
Бриг, КС 596 - стр 
Бриз, парообразующий продукт в диспенсере 183 - стр 
Брис, ВДГ 531 - стр 
Броадер, КЭ 228 - стр 
Бродифакум Гранд, Г 169 - стр 
Бром-БД, Концентрат 177 - стр 
Бункер, ВСК 314 - стр 
Бунт, ВР 418 - стр 
Бусидо, ВДГ 98 - стр 
Бутизан 400, КС 549 - стр 
Бутизан Стар, КС 551 - стр 
Бутон, ВРП 773 - стр 
Буцефал, КЭ 518 - стр 
Буцефал, КЭ 518 - стр 
БФТИМ КС-2, Ж 184 - стр 
БФТИМ КС-2, Ж 184 - стр 

В
Вайбранс Голд, КС 365 - стр 
Вайбранс Интеграл, КС 143 - стр 
Вайбранс Интеграл, КС 143 - стр 
Вайбранс Топ, КС 143 - стр 
Вайбранс Топ, КС 143 - стр 
Вайбранс Трио, КС 310 - стр 
Вайбранс Экстра, КС 365 - стр 
Вайбранс, КС 310 - стр 
Валлар, Г 58 - стр 
Вантекс, МКС 54 - стр 
Варат, Г 166 - стр 
Варат, МБ 174 - стр 
Варат, ТБ 173 - стр 
Варат, ТБ 173 - стр 
Варрант, ВРК 85 - стр 
Велосити Пауэр, ВДГ 625 - стр 
Велосити Супер, КЭ 674 - стр 
Велосити, МД 624 - стр 
Вендетта, КС 358 - стр 
Вендор, КЭ 597 - стр 
Веник, ВДГ 621 - стр 
Венто, КС 327 - стр 
Вердикт, ВДГ 518 - стр 
Веримарк, КС 153 - стр 
None - стр 
Вертимек, КЭ 21 - стр 
Вершина, КС 324 - стр 
Виадук, ВК 512 - стр 
Виал ТрасТ, ВСК 331 - стр 
Виал Трио, ВСК 309 - стр 
Вивандо, КС 273 - стр 
Вигор Форте, КРП 831 - стр 
Видат 5Г, Г 164 - стр 
Видблок Плюс, МЭ 517 - стр 
Визион, ВДГ 548 - стр 
Виконт, СП 260 - стр 
Винг-П, КЭ 590 - стр 
Виннер, КС 338 - стр 
Винтаж, МЭ 232 - стр 
Винцит Форте, КС 376 - стр 
Винцит, КС 335 - стр 
Виртуоз, КЭ 296 - стр 
Вист, шашки насыпные 331 - стр 
Витазим, ВР 721 - стр 
Витазол Экстра, ВДГ 303 - стр 
Витакс, КС 78 - стр 
Виталон, КС 344 - стр 
Витаплан, СП 192 - стр 
Витара, ВР 479 - стр 
Витарос, ВСК 252 - стр 
Виташанс, ВДГ 128 - стр 
Витена 450, ВДГ 382 - стр 
ВЛ 77, Ж 853 - стр 
Властелин, ВК 580 - стр 
Вождь, СК 619 - стр 
Волат, ВР 706 - стр 
Воленс, МЭ 416 - стр 
Волиам Флекси, СК 144 - стр 
Волсепт Сид, ВРК 238 - стр 
Вольник, ВРК 452 - стр 
Восторг, КС 101 - стр 
Вояж, ВДГ 583 - стр 
Всполох, ВР 409 - стр 
Вулкан, ТПС 51 - стр 
Выбор, КЭ 520 - стр 
Вымпел 2, КЭ 476 - стр 
Вымпел 3, КЭ 700 - стр 
Вэрва, ВЭ 866 - стр 
Вэрва-ель, ВЭ 873 - стр 

Г
Гавань Плюс, МД 548 - стр 
Газель, РП 47 - стр 
Газонтрел, ВР 540 - стр 
Гайтан, КЭ 590 - стр 
Галакси Топ, ВРК 424 - стр 
ГалактАлт, КЭ 431 - стр 
Галактион, КЭ 430 - стр 
Галера Супер 364, ВР 545 - стр 
Галиган, КЭ 589 - стр 
Галил, КС 91 - стр 
Галион, ВР 544 - стр 
Галлон, КЭ 430 - стр 
Галмет, КЭ 431 - стр 
Галокситин, КЭ 430 - стр 
Галоп М, КЭ 431 - стр 
Галошанс, КЭ 431 - стр 
Галс, КЭ 530 - стр 
Гамаир, КС 192 - стр 
Гамаир, СП 926 - стр 
Гамаир, ТАБ 926 - стр 
Гамбит, СК 595 - стр 
None - стр 
Гарнизон, ВР 418 - стр 
Гарпун, КС 48 - стр 
Гаугай, КЭ 430 - стр 
Гаур, КЭ 588 - стр 
Гаучо Эво, КС 93 - стр 
Гедеон, КЭ 109 - стр 
Гезагард, КС 593 - стр 
Гезадар, КС 593 - стр 
Гейзер, ККР 427 - стр 
Геката, КМЭ 229 - стр 
Гекстар, ВДГ 641 - стр 
Гелиос Экстра, ВР 465 - стр 
Гелиос, ВР 465 - стр 
Гель-Деймос, Гель 480 - стр 
Генсек, ВГР 488 - стр 
Геокс, ВДГ 361 - стр 
Геразол, ВРК 511 - стр 
Гераклион, КС 345 - стр 
Герб-480, ВР 480 - стр 
Гербикс, ВК 581 - стр 
Гербитокс, ВРК 578 - стр 
Гербитокс-Л, ВРК 577 - стр 
Гермес, МД 690 - стр 
Герольд, ВСК 71 - стр 
Герсотил, ВДГ 650 - стр 
Гетероауксин+, ВРП 724 - стр 
Гетероауксин, TAБ 717 - стр 
Гетероауксин, ВРП 716 - стр 
Гетероауксин, П 718 - стр 
Гибб Плюс, ВРК 779 - стр 
Гиббера, ВР 777 - стр 
Гибберсиб, П 771 - стр 
Гиберелон, ВРП 765 - стр 
Гидрамак, ВРП 810 - стр 
Гимексазол, СП 221 - стр 
Гимнаст, СП 258 - стр 
Гладиатор Супер, КС 101 - стр 
Гладиатор, КЭ 106 - стр 
Глайдер, КС 315 - стр 
Глайсель, ВР 428 - стр 
ГлиБест 540, ВР 466 - стр 
ГлиБест 540, ВР 466 - стр 
ГлиБест Гранд, ВДГ 427 - стр 
ГлиБест, ВР 442 - стр 
ГлиБест, ВР 442 - стр 
Глиокладин, СП 198 - стр 
Глиокладин, ТАБ 198 - стр  
Глифоголд, ВР 441 - стр 
Глифор Форте, ВР 466 - стр 
Глифор, ВР 456 - стр 
Глифот Супер, ВДГ 454 - стр 
Глифот, ВР 440 - стр 
Глифошанс Супер, ВР 448 - стр 
Глифошанс, ВР 446 - стр 
Глобал Плюс, ВК 498 - стр 
Глобал, ВР 498 - стр 
Глобарилл, ВР 882 - стр 
Гоал 2Е, КЭ 588 - стр 
Голден Ринг, ВР 490 - стр 
Голден Ринг, ВР 490 - стр 
Голиаф, ВР 453 - стр 
Голтикс Голд, КС 554 - стр 
Голтикс Супер, КС 555 - стр 
Голтикс Титан, КС 554 - стр 
Гольф, ВК 514 - стр 
Гонор, КС 593 - стр 
Горгон, ВРК 582 - стр 
Гордон, КС 595 - стр 
Горизонт, КЭ 702 - стр 
Готика, КС 112 - стр 
Готланд, ВР 712 - стр 
Гран-при, ВДГ 644 - стр 
Гранат, ВДГ 640 - стр 
Гранбаз, ВР 421 - стр 
Гранберг Про, КЭ 292 - стр 
Гранберг, КЭ 315 - стр 
Гранд Плюс, ВДГ 644 - стр 
Грандсил, КС 315 - стр 
Гранж, ВДГ 472 - стр 
Гранилин, ВДГ 651 - стр 
Гранстар Мега, ВДГ 655 - стр 
Грант, ВРК 506 - стр 
Гранулам, ВДГ 109 - стр 
Грануфло, ВДГ 342 - стр 
Грасс, КС 619 - стр 
Грейдер, ВГР 508 - стр 
Гренадер, ВДГ 640 - стр 
Гренадер, ВДГ 640 - стр 
Гренни, КС 222 - стр 
Гренч, СП 568 - стр 
Гризли, Г 58 - стр 
Гримс, ВДГ 602 - стр 
Грин Дейл, ВРК 880 - стр 
Гринда, РП 47 - стр 
Гроза-3, Г 179 - стр 
Гром, Г 59 - стр 
Гром-2, Г 59 - стр 
Громстор, ВДГ 644 - стр 
Грэмми, КС 380 - стр 
Грэнери, ВДГ 643 - стр 
Гуапсин плюс, Ж 196 - стр 
Губернатор, ВР 484 - стр 
Гуд-Харвест Метамитрон, КС 552 - стр 
Гуд-Харвест Пеноксулам 25, МД 590 - стр 
Гуд-Харвест С-Метолахлор, КЭ 618 - стр 
Гуд-Харвест Свекольный Гербицид, КЭ 698 - стр 
ГуматАктив, Ж 797 - стр 
Гюрза, СП 644 - стр 

Д
Даймонд Супер, КС 236 - стр 
Дакфосал, ТАБ 44 - стр 
Дамба, ВР 480 - стр 
Данадим Пауер, КЭ 70 - стр 
Данадим Эксперт, КЭ 64 - стр 
Дандрис, ВДГ 601 - стр 
ДВД Шанс, КС 236 - стр 
Девайс Ультра, ВРК 503 - стр 
Девиз, ВР 481 - стр 
Девринол, СК 583 - стр 
Дедало Элит, МЭ 412 - стр 
Дедмайс, ГР 167 - стр 
Деймос, ВРК 481 - стр 
Декабрист, ВР 484 - стр 
Декстер Турбо, СЭ 49 - стр 
Декстер, КС 111 - стр 
Делан Про, КС 223 - стр 
Делан, ВГ 223 - стр 
Деларо, КС 303 - стр 
Делатон, ВГ 222 - стр 
Делегат, ВДГ 571 - стр 
Делор, ВГ 222 - стр 
Деметра, КЭ 682 - стр 
Демитан, СК 144 - стр 
Денди, СТС 602 - стр 
Депозит Суприм, МЭ 364 - стр 
Депозит, МЭ 364 - стр 
Дерби 175, СК 680 - стр 
Дерозал Евро, КС 248 - стр 
Десикант Экспертоф, ВР 711 - стр 
Десикат Супер, ВР 711 - стр 
Десперадо, КС 547 - стр 
Десфен-80, КЭ 477 - стр 
Детка, ПС 885 - стр 
Дефилигнум, СК 15 - стр 
Децис Эксперт, КЭ 55 - стр 
Джиндур, КЭ 616 - стр 
Джинн, ТАБ 47 - стр 
Дзюдо, ВР 435 - стр 
Ди-68, КЭ 68 - стр 
Диазинон Экспресс, КЭ 58 - стр 
Диазол, КЭ 59 - стр 
Диакем, ВР 393 - стр 
Диален Супер, ВР 393 - стр 
Диамакс, ВР 409 - стр 
Диамант, ВР 483 - стр 
Диамисоль, ВР 392 - стр 
Диана, ВР 409 - стр 
Дианат, ВР 481 - стр 
Диастар, ВР 484 - стр 
Дибазон, ВРК 425 - стр 
Дива, КС 396 - стр 
Дивиденд Стар, КС 232 - стр 
Дивиденд Суприм, КС 140 - стр 
Дивиденд Суприм, КС 140 - стр 
Дивиденд Экстрим, КС 229 - стр 
Дикамбел, ВР 481 - стр 
Дикамерон, ВР 544 - стр 
Дикамин-Д, ВР 393 - стр 
Диквабис, ВР 712 - стр 
Дикват, ВРК 709 - стр 
Дикватерр Мега, ВР 711 - стр 
Дикватерр Супер, ВР 706 - стр 
Диклосоя, ВДГ 478 - стр 
Дикогерб Супер, ВРК 580 - стр 
Дикопур М, ВР 576 - стр 
Дикопур Топ, ВР 410 - стр 
Дикошанс, ВР 709 - стр 
Диметек, КЭ 68 - стр 
Диметрон, КЭ 67 - стр 
Диметус, КЭ 66 - стр 
Димефос, КЭ 66 - стр 
Димилин, ВДГ 72 - стр 
Димилин, СП 72 - стр 
Динали, ДК 237 - стр 
Диома, ВРК 503 - стр 
Дипломат, КЭ 109 - стр 
Дисектис, П 71 - стр 
Дискатор Форте, КЭ 402 - стр 
Дискор, КЭ 224 - стр 
Дисулам, СЭ 397 - стр 
Дитан М-45, СП 257 - стр 
Дитокс, КЭ 69 - стр 
Дифилайн, КЭ 617 - стр 
Дифломайт, СК 61 - стр 
Дифлуцид, СП 72 - стр 
Дифронт, КЭ 491 - стр 
Дишанс, КЭ 65 - стр 
Длясои, ВК 515 - стр 
Дозреватель, ВР 722 - стр 
Доктор Кроп, КС 248 - стр 
Доктор, ТБ 136 - стр 
Домарк, МЭ 331 - стр 
Домоцвет, Р 779 - стр 
Донат, ВР 710 - стр 
Допинг, КЭ 529 - стр 
Доспех 3, КС 325 - стр 
Доспех Квадра, КС 95 - стр 
Доспех Квадра, КС 95 - стр 
Доспех, КС 322 - стр 
Дракон, КЭ 674 - стр 
Дракор, ВСК 97 - стр 
Древер, КЭ 702 - стр 
Дротик, ККР 402 - стр 
Дуал Голд, КЭ 616 - стр 
Дублон Голд, ВДГ 588 - стр 
ДУБЛОН Супер, СП 486 - стр 
Дублон, СК 583 - стр 
Дукат, ВДГ 639 - стр 
Дурсбан, КЭ 149 - стр 
Душанс, КЭ 618 - стр 
ДЩК, Газ 61 - стр 
Дэлит Про, КС 278 - стр 

Е
Евро-Лайтнинг Плюс, ВРК 494 - стр 
Евро-Лайтнинг, ВРК 503 - стр 
Евро-Ланг, ВРК 517 - стр 
Евро-Ленд, ВРК 504 - стр 
Евродим, КЭ 63 - стр 
Европир, КЭ 149 - стр 
Еврошанс Плюс, ВРК 504 - стр 
Еврошанс, ВРК 504 - стр

Ж 
Жукоед, СК 33 - стр 

З
Завязь, КРП 767 - стр 
Зазофен, ВР 425 - стр 
Заман, ВРК 78 - стр 
Замир, ЭМВ 308 - стр 
Зантара, КЭ 324 - стр 
Зарница, КС 217 - стр 
Зато, ВДГ 350 - стр 
Здоровая земля, ВСК 252 - стр 
Зеагран 350, СЭ 623 - стр 
Зеленец, ВР 722 - стр 
Зеленец-Л, ВР 722 - стр 
Зеленый барьер, СП 15 - стр 
Зеллек-супер, КЭ 429 - стр 
Землин, Г 58 - стр 
Зенарил, ВР 544 - стр 
Зенкор Ультра, КС 560 - стр 
Зенкошанс, КС 562 - стр 
Зеребра Агро, ВР 803 - стр 
Зерномакс, КЭ 390 - стр 
Зерноспас, КЭ 127 - стр 
Зеро, ВР 432 - стр 
Зерокс, ВКР 205 - стр 
Зета, ВРК 512 - стр 
Зим 500, КС 249 - стр 
Зимошанс, КС 249 - стр 
Зингер, СП 572 - стр 
Зино, СП 555 - стр 
Злак Супер, КЭ 430 - стр 
Злакобой, КЭ 521 - стр 
Злакосупер, КЭ 431 - стр 
Злактерр, КЭ 521 - стр 
Знаток, ВДГ 350 - стр 
Зодиак, ВР 501 - стр 
Золтан, КЭ 297 - стр 
Зонатор, ВР 499 - стр 
Зонтран, ККР 555 - стр 
Зорвек Энкантия, СЭ 354 - стр 
Зубр, ВРК 80 - стр 
Зуммер, КС 357 - стр 

И
Ибис 100, КЭ 667 - стр 
Ибис, ЭМВ 667 - стр 
Идеал, КС 255 - стр 
Идикум, СК 77 - стр 
Изобен, ВР 422 - стр 
Изоцин БФК, МК 169 - стр 
Иканос, МД 585 - стр 
Икарус, В КЭ 320 - стр 
Илион, МД 543 - стр 
Илот, ВР 501 - стр 
Имазабел, ВР 500 - стр 
Имазошанс, ВР 499 - стр 
Имидабел, ВРК 89 - стр 
Имидалит, ТПС 91 - стр 
Имидан, ВДГ 148 - стр 
Имидасид, КС 78 - стр 
Имидашанс Плюс, СК 93 - стр 
Имидашанс Про, КС 95 - стр 
Имидашанс Про, КС 95 - стр 
Имидашанс, ВРК 85 - стр 
Имидашанс-С, КС 85 - стр 
Имидж Плюс, КЭ 91 - стр 
Имидж, ВРК 88 - стр 
Имидор Про, КС 82 - стр 
Имидор Про, КС 82 - стр 
Имидор, ВРК 83 - стр 
Имикар, КС 95 - стр 
Имикар, КС 95 - стр 
Имиприд, ВРК 83 - стр 
Имквант Супер, ВРК 505 - стр 
Имквант, ВР 500 - стр 
Импакт 500, КС 370 - стр 
Импакт Супер, КС 328 - стр 
Импакт Эксклюзив, КС 252 - стр 
Импакт, КС 370 - стр 
Импекс Дуо, ВРК 506 - стр 
Импульс, КС 681 - стр 
Индиго, КС 269 - стр 
Индокарб, КЭ 600 - стр 
Индофил М-45, СП 257 - стр 
Инновейт, КС 584 - стр 
Иноксифен, КЭ 128 - стр 
Инпут, КЭ 312 - стр 
Инсайд, СК 358 - стр 
Инсегар, ВДГ 146 - стр 
Инсектобактерин, СП 9 - стр 
Инсектор Супра, КС 136 - стр 
Инсектор, КС 138 - стр 
Инсетим, Ж 14 - стр 
Инстиво, КС 138 - стр 
Инта-Ц-М, ТАБ 156 - стр 
Интермеццо, КС 547 - стр 
Интрада, СК 205 - стр 
Инфинито, КС 368 - стр 
Иншур Перформ, КС 349 - стр  
Ирбис, ЭМВ 667 - стр 
Ирвин, СЭ 619 - стр 
Искра Золотая Просто, ВР 78 - стр 
Искра Золотая, ВРК 79 - стр 
Искра Золотая, ТАБ 80 - стр 
Искра М, КЭ 119 - стр 
Искра, ТАБ 157 - стр 

К
К-Обиоль, КЭ 56 - стр 
Кабрио Топ, ВДГ 272 - стр 
Кабуки, КЭ 593 - стр 
Кагатник, ВРК 218 - стр 
Кадет, ВР 411 - стр 
Казим, КС 247 - стр 
Казимир, КС 247 - стр 
Кайен, ВДГ 636 - стр 
Кайзер, КС 137 - стр 
Кайзо, ВГ 108 - стр 
Кайман Форте, ВДГ 435 - стр 
Кайман, ВР 446 - стр 
Кайман, ВР 446 - стр 
Кайтокс, КС 136 - стр 
Калаш, ВРК 80 - стр 
Калибел, КЭ 301 - стр 
Калибр Голд, ВДГ 631 - стр 
Калибр Дуо Голд, ВДГ 633 - стр 
