А
Абакус Прайм, СЭ 280 
Бишка, КЭ 61 
Блиц, ВРК 424 
Блю Шилд 20, ВДГ 262 
Боксер, КЭ 600 
Боливар Форте, КС 327 
Бомба, ВДГ 659 
Бомбарда, КС 140 
Бомбер, ДШ 144 
Бонтима Форте, КЭ 385 
Бонтима, КЭ 385 
Бонус, ВР 419 
Бордоская жидкость, ВСК 268 
Бордоская жидкость, ВСК 268 
Бордоская смесь Экстра, ВРП 268 
Бордоская смесь-Ф, ВРП 268 
Борей Нео, СК 32 
Борей, СК 93 
Босфор, КЭ 588 
Ботаник, ВРК 883 
Браво, КС 380 
Брандер, КС 212 
Бретер, КЭ 103 
Бриг, КС 596 
Бриз, парообразующий продукт в диспенсере 183 
Брис, ВДГ 531 
Броадер, КЭ 228 
Бродифакум Гранд, Г 169 
Бром-БД, Концентрат 177 
Бункер, ВСК 314 
Бунт, ВР 418 
Бусидо, ВДГ 98 
Бутизан 400, КС 549 
Бутизан Стар, КС 551 
Бутон, ВРП 773 
Буцефал, КЭ 518 
Буцефал, КЭ 518 
БФТИМ КС-2, Ж 184 
БФТИМ КС-2, Ж 184

В 
Вайбранс Голд, КС 365 
Вайбранс Интеграл, КС 143 
Вайбранс Интеграл, КС 143 
Вайбранс Топ, КС 143 
Вайбранс Топ, КС 143 
Вайбранс Трио, КС 310 
Вайбранс Экстра, КС 365 
Вайбранс, КС 310 
Валлар, Г 58 
Вантекс, МКС 54 
Варат, Г 166 
Варат, МБ 174 
Варат, ТБ 173 
Варат, ТБ 173 
Варрант, ВРК 85 
Велосити Пауэр, ВДГ 625 
Велосити Супер, КЭ 674 
Велосити, МД 624 
Вендетта, КС 358 
Вендор, КЭ 597 
Веник, ВДГ 621 
Венто, КС 327 
Вердикт, ВДГ 518 
Веримарк, КС 153 
Вертимек, КЭ 21 
Вершина, КС 324 
Виадук, ВК 512 
Виал ТрасТ, ВСК 331 
Виал Трио, ВСК 309 
Вивандо, КС 273 
Вигор Форте, КРП 831 
Видат 5Г, Г 164 
Видблок Плюс, МЭ 517 
Визион, ВДГ 548 
Виконт, СП 260 
Винг-П, КЭ 590 
Виннер, КС 338 
Винтаж, МЭ 232 
Винцит Форте, КС 376 
Винцит, КС 335 
Виртуоз, КЭ 296 
Вист, шашки насыпные 331 
Витазим, ВР 721 
Витазол Экстра, ВДГ 303 
Витакс, КС 78 
Виталон, КС 344 
Витаплан, СП 192 
Витара, ВР 479 
Витарос, ВСК 252 
Виташанс, ВДГ 128 
Витена 450, ВДГ 382 
ВЛ 77, Ж 853 
Властелин, ВК 580 
Вождь, СК 619 
Волат, ВР 706 
Воленс, МЭ 416 
Волиам Флекси, СК 144 
Волсепт Сид, ВРК 238 
Вольник, ВРК 452 
Восторг, КС 101 
Вояж, ВДГ 583 
Всполох, ВР 409 
Вулкан, ТПС 51 
Выбор, КЭ 520 
Вымпел 2, КЭ 476 
Вымпел 3, КЭ 700 
Вэрва, ВЭ 866 
Вэрва-ель, ВЭ 873 

Г
Гавань Плюс, МД 548 
Газель, РП 47 
Газонтрел, ВР 540 
Гайтан, КЭ 590 
Галакси Топ, ВРК 424 
ГалактАлт, КЭ 431 
Галактион, КЭ 430 
Галера Супер 364, ВР 545 
Галиган, КЭ 589 
Галил, КС 91 
Галион, ВР 544 
Галлон, КЭ 430 
Галмет, КЭ 431 
Галокситин, КЭ 430 
Галоп М, КЭ 431 
Галошанс, КЭ 431 
Галс, КЭ 530 
Гамаир, КС 192 
Гамаир, СП 926 
Гамаир, ТАБ 926 
Гамбит, СК 595 
Гарнизон, ВР 418 
Гарпун, КС 48 
Гаугай, КЭ 430 
Гаур, КЭ 588 
Гаучо Эво, КС 93 
Гедеон, КЭ 109 
Гезагард, КС 593 
Гезадар, КС 593 
Гейзер, ККР 427 
Геката, КМЭ 229 
Гекстар, ВДГ 641 
Гелиос Экстра, ВР 465 
Гелиос, ВР 465 
Гель-Деймос, Гель 480 
Генсек, ВГР 488 
Геокс, ВДГ 361 
Геразол, ВРК 511 
Гераклион, КС 345 
Герб-480, ВР 480 
Гербикс, ВК 581 
Гербитокс, ВРК 578 
Гербитокс-Л, ВРК 577 
Гермес, МД 690 
Герольд, ВСК 71 
Герсотил, ВДГ 650 
Гетероауксин+, ВРП 724 
Гетероауксин, TAБ 717 
Гетероауксин, ВРП 716 
Гетероауксин, П 718 
Гибб Плюс, ВРК 779 
Гиббера, ВР 777 
Гибберсиб, П 771 
Гиберелон, ВРП 765 
Гидрамак, ВРП 810 
Гимексазол, СП 221 
Гимнаст, СП 258 
Гладиатор Супер, КС 101 
Гладиатор, КЭ 106 
Глайдер, КС 315 
Глайсель, ВР 428 
ГлиБест 540, ВР 466 
ГлиБест 540, ВР 466 
ГлиБест Гранд, ВДГ 427 
ГлиБест, ВР 442 
ГлиБест, ВР 442 
Глиокладин, СП 198 
Глиокладин, ТАБ 198 
Глифоголд, ВР 441 
Глифор Форте, ВР 466 
Глифор, ВР 456 
Глифот Супер, ВДГ 454 
Глифот, ВР 440 
Глифошанс Супер, ВР 448 
Глифошанс, ВР 446 
Глобал Плюс, ВК 498 
Глобал, ВР 498 
Глобарилл, ВР 882 
Гоал 2Е, КЭ 588 
Голден Ринг, ВР 490 
Голден Ринг, ВР 490 
Голиаф, ВР 453 
Голтикс Голд, КС 554 
Голтикс Супер, КС 555 
Голтикс Титан, КС 554 
Гольф, ВК 514 
Гонор, КС 593 
Горгон, ВРК 582 
Гордон, КС 595 
Горизонт, КЭ 702 
Готика, КС 112 
Готланд, ВР 712 
Гран-при, ВДГ 644 
Гранат, ВДГ 640 
Гранбаз, ВР 421 
Гранберг Про, КЭ 292 
Гранберг, КЭ 315 
Гранд Плюс, ВДГ 644 
Грандсил, КС 315 
Гранж, ВДГ 472 
Гранилин, ВДГ 651 
Гранстар Мега, ВДГ 655 
Грант, ВРК 506 
Гранулам, ВДГ 109 
Грануфло, ВДГ 342 
Грасс, КС 619 
Грейдер, ВГР 508 
Гренадер, ВДГ 640 
Гренадер, ВДГ 640 
Гренни, КС 222 
Гренч, СП 568 
Гризли, Г 58 
Гримс, ВДГ 602 
Грин Дейл, ВРК 880 
Гринда, РП 47 
Гроза-3, Г 179 
Гром, Г 59 
Гром-2, Г 59 
Громстор, ВДГ 644 
Грэмми, КС 380 
Грэнери, ВДГ 643 
Гуапсин плюс, Ж 196 
Губернатор, ВР 484 
Гуд-Харвест Метамитрон, КС 552 
Гуд-Харвест Пеноксулам 25, МД 590 
Гуд-Харвест С-Метолахлор, КЭ 618 
Гуд-Харвест Свекольный Гербицид, КЭ 698 
ГуматАктив, Ж 797 
Гюрза, СП 644 

Д
Даймонд Супер, КС 236 
Дакфосал, ТАБ 44 
Дамба, ВР 480 
Данадим Пауер, КЭ 70 
Данадим Эксперт, КЭ 64 
Дандрис, ВДГ 601 
ДВД Шанс, КС 236 
Девайс Ультра, ВРК 503 
Девиз, ВР 481 
Девринол, СК 583 
Дедало Элит, МЭ 412 
Дедмайс, ГР 167 
Деймос, ВРК 481 
Декабрист, ВР 484 
Декстер Турбо, СЭ 49 
Декстер, КС 111 
Делан Про, КС 223 
Делан, ВГ 223 
Деларо, КС 303 
Делатон, ВГ 222 
Делегат, ВДГ 571 
Делор, ВГ 222 
Деметра, КЭ 682 
Демитан, СК 144 
Денди, СТС 602 
Депозит Суприм, МЭ 364 
Депозит, МЭ 364 
Дерби 175, СК 680 
Дерозал Евро, КС 248 
Десикант Экспертоф, ВР 711 
Десикат Супер, ВР 711 
Десперадо, КС 547 
Десфен-80, КЭ 477 
Детка, ПС 885 
Дефилигнум, СК 15 
Децис Эксперт, КЭ 55 
Джиндур, КЭ 616 
Джинн, ТАБ 47 
Дзюдо, ВР 435 
Ди-68, КЭ 68 
Диазинон Экспресс, КЭ 58 
Диазол, КЭ 59 
Диакем, ВР 393 
Диален Супер, ВР 393 
Диамакс, ВР 409 
Диамант, ВР 483 
Диамисоль, ВР 392 
Диана, ВР 409 
Дианат, ВР 481 
Диастар, ВР 484 
Дибазон, ВРК 425 
Дива, КС 396 
Дивиденд Стар, КС 232 
Дивиденд Суприм, КС 140 
Дивиденд Суприм, КС 140 
Дивиденд Экстрим, КС 229 
Дикамбел, ВР 481 
Дикамерон, ВР 544 
Дикамин-Д, ВР 393 
Диквабис, ВР 712 
Дикват, ВРК 709 
Дикватерр Мега, ВР 711 
Дикватерр Супер, ВР 706 
Диклосоя, ВДГ 478 
Дикогерб Супер, ВРК 580 
Дикопур М, ВР 576 
Дикопур Топ, ВР 410 
Дикошанс, ВР 709 
Диметек, КЭ 68 
Диметрон, КЭ 67 
Диметус, КЭ 66 
Димефос, КЭ 66 
Димилин, ВДГ 72 
Димилин, СП 72 
Динали, ДК 237 
Диома, ВРК 503 
Дипломат, КЭ 109 
Дисектис, П 71 
Дискатор Форте, КЭ 402 
Дискор, КЭ 224 
Дисулам, СЭ 397 
Дитан М-45, СП 257 
Дитокс, КЭ 69 
Дифилайн, КЭ 617 
Дифломайт, СК 61 
Дифлуцид, СП 72 
Дифронт, КЭ 491 
Дишанс, КЭ 65 
Длясои, ВК 515 
Дозреватель, ВР 722 
Доктор Кроп, КС 248 
Доктор, ТБ 136 
Домарк, МЭ 331 
Домоцвет, Р 779 
Донат, ВР 710 
Допинг, КЭ 529 
Доспех 3, КС 325 
Доспех Квадра, КС 95 
Доспех Квадра, КС 95 
Доспех, КС 322 
Дракон, КЭ 674 
Дракор, ВСК 97 
Древер, КЭ 702 
Дротик, ККР 402 
Дуал Голд, КЭ 616 
Дублон Голд, ВДГ 588 
ДУБЛОН Супер, СП 486 
Дублон, СК 583 
Дукат, ВДГ 639 
Дурсбан, КЭ 149 
Душанс, КЭ 618 
ДЩК, Газ 61 
Дэлит Про, КС 278 

Е
Евро-Лайтнинг Плюс, ВРК 494 
Евро-Лайтнинг, ВРК 503 
Евро-Ланг, ВРК 517 
Евро-Ленд, ВРК 504 
Евродим, КЭ 63 
Европир, КЭ 149 
Еврошанс Плюс, ВРК 504 
Еврошанс, ВРК 504 

Ж
Жукоед, СК 33 

З
Завязь, КРП 767 
Зазофен, ВР 425 
Заман, ВРК 78 
Замир, ЭМВ 308 
Зантара, КЭ 324 
Зарница, КС 217 
Зато, ВДГ 350 
Здоровая земля, ВСК 252 
Зеагран 350, СЭ 623 
Зеленец, ВР 722 
Зеленец-Л, ВР 722 
Зеленый барьер, СП 15 
Зеллек-супер, КЭ 429 
Землин, Г 58 
Зенарил, ВР 544 
Зенкор Ультра, КС 560 
Зенкошанс, КС 562 
Зеребра Агро, ВР 803 
Зерномакс, КЭ 390 
Зерноспас, КЭ 127 
Зеро, ВР 432 
Зерокс, ВКР 205 
Зета, ВРК 512 
Зим 500, КС 249 
Зимошанс, КС 249 
Зингер, СП 572 
Зино, СП 555 
Злак Супер, КЭ 430 
Злакобой, КЭ 521 
Злакосупер, КЭ 431 
Злактерр, КЭ 521 
Знаток, ВДГ 350 
Зодиак, ВР 501 
Золтан, КЭ 297 
Зонатор, ВР 499 
Зонтран, ККР 555 
Зорвек Энкантия, СЭ 354 
Зубр, ВРК 80 
Зуммер, КС 357 

И
Ибис 100, КЭ 667 
Ибис, ЭМВ 667 
Идеал, КС 255 
Идикум, СК 77 
Изобен, ВР 422 
Изоцин БФК, МК 169 
Иканос, МД 585 
Икарус, В КЭ 320 
Илион, МД 543 
Илот, ВР 501 
Имазабел, ВР 500 
Имазошанс, ВР 499 
Имидабел, ВРК 89 
Имидалит, ТПС 91 
Имидан, ВДГ 148 
Имидасид, КС 78 
Имидашанс Плюс, СК 93 
Имидашанс Про, КС 95 
Имидашанс Про, КС 95 
Имидашанс, ВРК 85 
Имидашанс-С, КС 85 
Имидж Плюс, КЭ 91 
Имидж, ВРК 88 
Имидор Про, КС 82 
Имидор Про, КС 82 
Имидор, ВРК 83 
Имикар, КС 95 
Имикар, КС 95 
Имиприд, ВРК 83 
Имквант Супер, ВРК 505 
Имквант, ВР 500 
Импакт 500, КС 370 
Импакт Супер, КС 328 
Импакт Эксклюзив, КС 252 
Импакт, КС 370 
Импекс Дуо, ВРК 506 
Импульс, КС 681 
Индиго, КС 269 
Индокарб, КЭ 600 
Индофил М-45, СП 257 
Инновейт, КС 584 
Иноксифен, КЭ 128 
Инпут, КЭ 312 
Инсайд, СК 358 
Инсегар, ВДГ 146 
Инсектобактерин, СП 9 
Инсектор Супра, КС 136 
Инсектор, КС 138 
Инсетим, Ж 14 
Инстиво, КС 138 
Инта-Ц-М, ТАБ 156 
Интермеццо, КС 547 
Интрада, СК 205 
Инфинито, КС 368 
Иншур Перформ, КС 349 
Ирбис, ЭМВ 667 
Ирвин, СЭ 619 
Искра Золотая Просто, ВР 78 
Искра Золотая, ВРК 79 
Искра Золотая, ТАБ 80 
Искра М, КЭ 119 
Искра, ТАБ 157 

К
К-Обиоль, КЭ 56 
Кабрио Топ, ВДГ 272 
Кабуки, КЭ 593 
Кагатник, ВРК 218 
Кадет, ВР 411 
Казим, КС 247 
Казимир, КС 247 
Кайен, ВДГ 636 
Кайзер, КС 137 
Кайзо, ВГ 108 
Кайман Форте, ВДГ 435 
Кайман, ВР 446 
Кайман, ВР 446 
Кайтокс, КС 136 
Калаш, ВРК 80 
Калибел, КЭ 301 
Калибр Голд, ВДГ 631 
Калибр Дуо Голд, ВДГ 633 
Калибр Дуо, ВДГ 632 
Калибр, ВДГ 631 
Калина, КС 132 
Калипсо, КС 133 
Каллисто, СК 547 
Камаро, СЭ 408 
Камелин, КЭ 530 
Камелот, СЭ 619 
Камертон Ультра, СП 246 
Канон, КЭ 432 
Канонир Дуо, КС 93 
Кантик, КЭ 309 
Кантор, ККР 384 
Кантус, ВДГ 220 
Капелла, МЭ 295 
Капилео, КЭ 522 
Капрено, КС 624 
Каптора Плюс, ВРК 506 
Каптора, ВРК 504 
Караван, СП 662 
Карамба Дуо, КЭ 273 
Карамба Дуо, КЭ 273 
Карамба, КЭ 273 
Карамболь, СП 663 
Каратель, ВДГ 98 
Каратошанс, КЭ 107 
Каратэ Зеон, МКС 109 
Карачар, КЭ 103 
Карбезим, КС 250 
Карбонадо, ТПС 836 
Карбофот, КЭ 120 
Карбоцин, ТАБ 157 
Кардинал 500, КС 249 
Кардон, КС 247 
Карзибел, КС 250 
Карзитек, КС 251 
Кари-Макс, СП 661 
Кари-Макс-Флюид, МД 660 
Кариал Флекс, ВДГ 256 
Карибу Дуо Актив, ВДГ 546 
Карибу С, ВДГ 660 
Карибу, ВДГ 660 
КариПро, ВДГ 661 
Каритори, ВДГ 592 
Каришанс, ВДГ 662 
Карнаби, ВДГ 663 
Карповирусин, СК 54 
Карриджу, ВДГ 661 
Каскад Премиум, ВДГ 636 
Каспер, ВРК 493 
Кассиус, ВРП 603 
Касумин 2Л, ВР 253 
Квадрис, СК 206 
Квартет, КС 49 
Квартет, КС 49 
Квестор Форте, КС 143 
Квестор, КС 143 
Квестор, КС 143 
Квизурил, КЭ 519 
Квикстеп, МКЭ 527 
Квикстеп, МКЭ 527 
Квикфос, ТАБ 35 
Кельвин Плюс, ВДГ 487 
Кентавр, ВДГ 679 
Киборг, КС 619 
Кидека, КС 548 
Килрат Супер, ГР 167 
Кинг Комби, КС 49 
Кинг Комби, КС 49 
Кинмикс, КЭ 50 
Кинто Дуо, КС 349 
Кинто Плюс, КС 368 
Кинфос Нео, КЭ 69 
Кинфос, КЭ 69 
Кипер, КС 139 
Кирай, ВР 544 
Кираса, ВДГ 100 
Клад, КС 332 
Классик Форте, ВДГ 637 
Клегал, МКЭ 528 
Клеймор, СК 360 
Клео, ВДГ 536 
Клеопатра, КЭ 22 
Клерат, Г 168 
Клерк, КЭ 522 
Клетодим Плюс Микс, КЭ 525 
Клетошанс, КЭ 526 
Клик 500, КС 623 
Климат, серная дымовая шашка 128 
Клипер, КЭ 51 
Клонрин, КЭ 99 
Клопер 750, ВДГ 536 
Клопирид, ВДГ 540 
Клопэфир, КЭ 411 
Клордин, КЭ 530 
Клорит, ВР 534 
Клотиамет Дуо, КС 101 
Клотиамет, ВДГ 97 
Клотиамет, ВДГ 97 
Клотиамет-С, КС 98 
Клотианидин Про, КС 99 
Клубнещит, КС 95 
Клубнещит, КС 95 
Кобальт, КМЭ 287 
Кобра, КЭ 589 
Когорта, ВГР 427 
Койот, КС 88 
Койра, КС 147 
Колосаль Про, КМЭ 292 
Колосаль, КЭ 316 
Колфуго Супер, КС 249 
Командор Макси, ВДГ 81 
Командор, ВРК 80 
Команч, КЭ 531 
Комиссар, КЭ 293 
КомКат, ВРП 746 
Комманд, КЭ 530 
Компакт, КС 374 
Комфорт, КС 247 
Конвизо 1, МД 685 
Кондор Форте, МД 662 
Кондор, ВДГ 662 
Конрад, КС 86 
Консенто, КС 283 
Консул, КС 375 
Контадор Макси, КС 86 
Контадор, ВРК 86 
Контакт, ВДГ 561 
Конфибой, ВРК 78 
Конфиделин Супер, ВДГ 79 
Конфиделин, ВРК 81 
Конфидор Экстра, ВДГ 86 
Концепт, МД 507 
Кораген, КС 148 
Корадо Лайт, КС 79 
Корадо, ВРК 79 
Кордус Плюс, ВДГ 489 
Кордус, ВДГ 587 
Коренастый, ВК 874 
Коренник, СП 736 
Корень Супер, ВРГ 734 
Корень Супер, ВРГ 734 
Корлеоне, КЭ 486 
Корморан, КЭ 125 
Корневин, СП 734 
Корнеги, СЭ 623 
Корней, СП 735 
Корнерост М, КРП 737 
Корнестим, СП 735 
Корникос, КС 585 
Корректор, ВР 543 
Коррида, ВДГ 648 
Корсар Супер, ВРК 425 
Корсар, ВРК 419 
Кортлис, ВРК 80 
Корум, ВРК 426 
Косайд 2000, ВДГ 263 
Косайд Супер, ВДГ 264 
Космик Турбо, ВРГ 472 
Костандо, КЭ 863 
Кратерр, КС 594 
Крафт, ВЭ 22 
Кредо, СК 250 
Крёз, КС 255 
Крезаксин, ВДГ 254 
Крезацин, КРП, ТАБ 815 
Крезолан, ВР 815 
Крейцер, ВДГ 588 
Крепень, ВР 875 
Крептон, КРП, ВРКАП 818 
Кристалл, КС 389 
Кротомет, Г 181 
Кругозор, КС 136 
Круйзер Рапс, КС 140 
Круйзер, КС 137 
Круйзер, КС (350 г/л) 137 
Круйзер, КС (600 г/л) 137 
Круцифер, ВР 544 
Кумир, СК 269 
Кумулус ДФ, ВДГ 311 
Кунгфу Супер, КС 140 
Кунгфу, КЭ 103 
Купаж, ВДГ 630 
Купидон Голд, СП 263 
Куприкол, КОЛР 378 
Купроксат, КС 269 
Купролюкс, СП 271 
Курант, ГР 169 
Курзат Р, СП 379 
Куррито, КС 113 
Курсар, ВР 501 
Кустодия, КС 210 
Кэнсел, КС 370 
Лабрадор, КЭ 597 

Л
Лазурит Супер, КНЭ 558 
Лазурит Т, СП 559 
Лазурит Ультра, СК 559 
Лазурит, СП 557 
Лайфлайн, ВР 473 
Лайфлайн, ВР 473 
Лама, КЭ 672 
Ламадор Про, КС 307 
Ламадор, КС 304 
Ламбада, СЭ 408 
Ланкастер, КЭ 522 
Ланнат, СП 123 
Ланта, КС 348 
Ланцелот 450, ВДГ 416 
Ларен Мет Про, ВДГ 575 
Ларен Про, ВДГ 567 
Лариксифол, ВЭ 802 
Ларимар, ТКС 332 
Ларт, ВР 485 
Лассо, КЭ 104 
Ластик Топ, МКЭ 673 
Ластик Топ, МКЭ 673 
Ластик Экстра, КЭ 667 
Лаудис, ВДГ 623 
Левират, КЭ 395 
Легат, КЭ 527 
Легенда, МД 549 
Легион Комби, КЭ 524 
